"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","680uF","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1240.pdf","Library:CAPAE660X800N","1",""
"C2","330uF","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"D1","red","https://www.mouser.com/datasheet/2/50/SM1206HC-3001920.pdf","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","1",""
"D2","1N5822","http://www.vishay.com/docs/88526/1n5820.pdf","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","1",""
"D3","green","https://www.mouser.com/datasheet/2/50/SM0603PGC-3001706.pdf","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","1",""
"F1","Fuse","https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf","Diode_SMD:D_0402_1005Metric_Pad0.77x0.64mm_HandSolder","1",""
"J1","Conn_01x10_Socket","https://precidip.com/product/310-87-110-41-001101/","Library:PRECI-DIP_310-87-110-41-001101","1",""
"L1","47uH","bourns.com/docs/Product-Datasheets/SRP1038A.pdf","Library:output inductor","1",""
"R1","1100Ω","https://www.vishay.com/docs/20043/crcwhpe3.pdf","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","1",""
"R2","150Ω","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/sdr-e.pdf","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"U1","LM2596S-5","http://www.ti.com/lit/ds/symlink/lm2596.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
